H Df
0.1854 0.99014
0.1648 0.91559
0.1442 0.82629
0.1236 0.73336
0.103 0.62671
0.0824 0.53071
0.0618 0.40456
0.0412 0.28734
0.0206 0.1435
0 0.00422
-0.0206 -0.15707
-0.0412 -0.33164
-0.0618 -0.53211
-0.0824 -0.73116
-0.0927 -0.32948
-0.103 0.10195
-0.1133 0.11578
-0.1236 0.56916
-0.1442 0.77798
-0.1648 0.87932
-0.1854 0.97704
-0.206 1.0381
-0.1854 0.97739
-0.1648 0.88441
-0.1442 0.81358
-0.1236 0.71418
-0.103 0.63314
-0.0824 0.51593
-0.0618 0.41389
-0.0412 0.27012
-0.0206 0.14684
0 -0.00423
0.0206 -0.1679
0.0412 -0.33437
0.0618 -0.53707
0.0824 -0.78385
0.0927 -0.32525
0.103 0.10915
0.1133 0.16564
0.1236 0.57131
0.1442 0.80376
0.1648 0.89802
0.1854 0.97414
0.206 1.0429
