H Df
-0.1442 0.81117
-0.1236 0.71123
-0.103 0.61916
-0.0824 0.5123
-0.0618 0.40031
-0.0412 0.26713
-0.0206 0.13309
0 -0.01239
0.0206 -0.16734
0.0412 -0.34779
0.0618 -0.5283
0.0824 -0.75532
0.0927 -0.08884
0.103 -0.01404
0.1133 0.41492
0.1236 0.71162
0.1442 0.80319
0.1648 0.88088
0.1854 0.94733
0.206 1.05332
0.1854 0.99906
0.1648 0.89083
0.1442 0.82512
0.1236 0.73898
0.103 0.61867
0.0824 0.52729
0.0618 0.42474
0.0412 0.27904
0.0206 0.14479
0 0.01238
-0.0206 -0.15421
-0.0412 -0.32065
-0.0618 -0.5172
-0.0824 -0.71693
-0.0927 -0.06232
-0.103 0.06415
-0.1133 0.24781
-0.1236 0.49179
-0.1442 0.8725
-0.1648 0.96031
-0.1854 1.05709
-0.206 1.16171
-0.1854 1.0688
-0.1648 0.98134
