H Df
0.206 1.12426
0.1854 1.04722
0.1648 0.96041
0.1442 0.8634
0.1236 0.76428
0.103 0.66865
0.0824 0.54466
0.0618 0.42858
0.0412 0.29257
0.0206 0.16048
0 0.01047
-0.0206 -0.14671
-0.0412 -0.33662
-0.0618 -0.51907
-0.0824 -0.74184
-0.0927 -0.21779
-0.103 -0.08915
-0.1133 0.03132
-0.1236 0.29608
-0.1442 0.82184
-0.1648 0.9004
-0.1854 0.97802
-0.206 1.09052
-0.1854 1.00719
-0.1648 0.92881
-0.1442 0.83162
-0.1236 0.73204
-0.103 0.62899
-0.0824 0.5202
-0.0618 0.39364
-0.0412 0.27386
-0.0206 0.13416
0 -0.01047
0.0206 -0.18092
0.0412 -0.34404
0.0618 -0.55171
0.0824 -0.7633
0.103 -0.09409
0.1133 0.00905
0.1236 0.2502
0.1442 0.79426
0.1648 0.88704
0.1854 0.96712
