H Df
0.206 1.07426
0.1854 0.9947
0.1648 0.91501
0.1442 0.83074
0.1236 0.74179
0.103 0.63337
0.0824 0.5306
0.0618 0.40935
0.0412 0.28655
0.0206 0.15237
0 7.45E-5
-0.0206 -0.15572
-0.0412 -0.3323
-0.0618 -0.53033
-0.0824 -0.74071
-0.0927 -0.20612
-0.103 0.1129
-0.1133 0.40645
-0.1236 0.65753
-0.1442 0.79198
-0.1648 0.87899
-0.1854 0.95871
-0.206 1.03636
-0.1854 0.96554
-0.1648 0.89493
-0.1442 0.80365
-0.1236 0.7256
-0.103 0.63011
-0.0824 0.51758
-0.0618 0.40867
-0.0412 0.28709
-0.0206 0.1541
0 -8E-5
0.0206 -0.15163
0.0412 -0.34202
0.0618 -0.53437
0.0824 -0.77357
0.0927 -0.14054
0.103 0.08619
0.1133 0.30558
0.1236 0.62615
0.1442 0.807
0.1648 0.86393
0.1854 0.97926
