H Df
0.1236 0.71646
0.103 0.61933
0.0824 0.52013
0.0618 0.4098
0.0412 0.28945
0.0206 0.15415
0 4.36E-4
-0.0206 -0.17069
-0.0412 -0.34157
-0.0618 -0.53734
-0.0824 -0.76565
-0.0927 -0.15223
-0.103 -0.12552
-0.1133 -0.00754
-0.1236 0.4993
-0.1442 0.76735
-0.1648 0.85482
-0.1854 0.92196
-0.206 1.03585
-0.1854 0.95925
-0.1648 0.88179
-0.1442 0.80375
-0.1236 0.71354
-0.103 0.61826
-0.0824 0.52132
-0.0618 0.41509
-0.0412 0.29617
-0.0206 0.1491
0 -4.36E-4
0.0206 -0.16434
0.0412 -0.33581
0.0618 -0.54043
0.0824 -0.74792
0.0927 -0.17344
0.1133 0.01837
0.1236 0.70232
0.1442 0.78196
0.1648 0.85853
0.1854 0.92861
0.206 1.04463
0.1854 0.96564
0.1648 0.89012
0.1442 0.81371
