H Df
0.206 1.08601
0.1854 0.99541
0.1648 0.92453
0.1442 0.82895
0.1236 0.73241
0.103 0.62092
0.0824 0.50888
0.0618 0.39763
0.0412 0.27822
0.0206 0.13779
0 -0.01995
-0.0206 -0.16751
-0.0412 -0.34173
-0.0618 -0.53412
-0.0824 -0.74789
-0.0927 -0.09385
-0.103 0.03097
-0.1133 0.36218
-0.1236 0.62695
-0.1442 0.82497
-0.1648 0.91781
-0.1854 1.00704
-0.206 1.11293
-0.1854 1.03449
-0.1648 0.94471
-0.1442 0.86212
-0.1236 0.7599
-0.103 0.65239
-0.0824 0.54185
-0.0618 0.42445
-0.0412 0.29634
-0.0206 0.17044
0 0.01994
0.0206 -0.14263
0.0412 -0.32114
0.0618 -0.51435
0.0824 -0.72959
0.0927 -0.1169
0.103 0.042
0.1133 0.36947
0.1236 0.6812
0.1442 0.84728
0.1648 0.94554
0.1854 1.0155
