H Df
-0.0824 0.54163
-0.0618 0.41712
-0.0412 0.30647
-0.0206 0.1583
0 0.00109
0.0206 -0.15886
0.0412 -0.32592
0.0618 -0.50924
0.0824 -0.72476
0.103 -0.12342
0.1133 0.01843
0.1236 0.34263
0.1442 0.82602
0.1648 0.90405
0.1854 0.96307
0.206 1.08868
0.1854 1.01242
0.1648 0.93531
0.1442 0.82619
0.1236 0.74247
0.103 0.63329
0.0824 0.52404
0.0618 0.40892
0.0412 0.28155
0.0206 0.16118
0 -0.0011
-0.0206 -0.1795
-0.0412 -0.35198
-0.0618 -0.55329
-0.0824 -0.75496
-0.0927 -0.1091
-0.103 0.01531
-0.1236 0.47125
-0.1442 0.77672
-0.1648 0.8808
-0.1854 0.96266
-0.206 1.06543
-0.1854 0.97952
-0.1648 0.8915
-0.1442 0.82183
-0.1236 0.69433
-0.103 0.59868
-0.0824 0.54163
