H Df
0.206 1.07533
0.1854 1.00432
0.1648 0.92147
0.1442 0.84167
0.1236 0.73271
0.103 0.63503
0.0824 0.5284
0.0618 0.4001
0.0412 0.2752
0.0206 0.1385
0 0.00576
-0.0206 -0.16817
-0.0412 -0.34441
-0.0618 -0.54735
-0.0824 -0.75943
-0.0927 -0.31131
-0.103 -0.17843
-0.1133 0.06439
-0.1236 0.2971
-0.1442 0.77051
-0.1648 0.87369
-0.1854 0.94475
-0.206 1.05753
-0.1854 0.97466
-0.1648 0.88578
-0.1442 0.81754
-0.1236 0.71778
-0.103 0.61653
-0.0824 0.50308
-0.0618 0.39456
-0.0412 0.27892
-0.0206 0.13906
0 -0.00768
0.0206 -0.16572
0.0412 -0.30224
0.0618 -0.50453
0.0824 -0.71848
0.103 -0.2188
0.1133 -0.02089
0.1236 0.39346
0.1442 0.80857
0.1648 0.89465
0.1854 0.97266
