H Df
0.0824 0.53254
0.0618 0.42128
0.0412 0.29809
0.0206 0.19449
0 0.01499
-0.0206 -0.13683
-0.0412 -0.31397
-0.0618 -0.53522
-0.0824 -0.71748
-0.0927 -0.83495
-0.103 -0.02088
-0.1133 0.54631
-0.1236 0.55798
-0.1442 0.78655
-0.1648 0.9356
-0.1854 0.9738
-0.206 1.10605
-0.1854 0.978
-0.1648 0.93268
-0.1442 0.84127
-0.1236 0.76125
-0.103 0.66435
-0.0824 0.55971
-0.0618 0.43833
-0.0412 0.3025
-0.0206 0.16627
0 -0.015
0.0206 -0.14142
0.0412 -0.32885
0.0618 -0.48643
0.0824 -0.77546
0.0927 -0.75296
0.103 -0.04674
0.1133 0.55382
0.1236 0.61539
0.1442 0.82955
0.1648 0.92451
0.1854 1.02154
0.206 1.07895
0.1854 1.0219
0.1648 0.94398
0.1442 0.83231
0.1236 0.73311
0.103 0.67632
0.0824 0.53254
