H Df
0.206 1.08338
0.1854 1.0012
0.1648 0.92976
0.1442 0.84026
0.1236 0.73693
0.103 0.6499
0.0824 0.53591
0.0618 0.4226
0.0412 0.2901
0.0206 0.16308
0 0.01581
-0.0206 -0.14506
-0.0412 -0.326
-0.0618 -0.52675
-0.0824 -0.73256
-0.0927 -0.23251
-0.103 0.05885
-0.1133 0.09785
-0.1236 0.56063
-0.1442 0.77948
-0.1648 0.86601
-0.1854 0.97534
-0.206 1.03672
-0.1854 0.96694
-0.1648 0.88444
-0.1442 0.8021
-0.1236 0.71217
-0.103 0.60157
-0.0824 0.50796
-0.0618 0.38425
-0.0412 0.25832
-0.0206 0.13302
0 -0.01581
0.0206 -0.18604
0.0412 -0.36024
0.0618 -0.56489
0.0824 -0.76384
0.0927 -0.2286
0.103 -0.02435
0.1236 0.40672
0.1442 0.76771
0.1648 0.85926
0.1854 0.96491
