H Df
-0.0824 -0.80454
-0.0927 -0.38986
-0.103 0.00765
-0.1133 0.18878
-0.1236 0.60665
-0.1442 0.77614
-0.1648 0.93738
-0.1854 0.99735
-0.206 1.05636
-0.1854 0.98009
-0.1648 0.85423
-0.1442 0.76925
-0.1236 0.70644
-0.103 0.63278
-0.0824 0.51759
-0.0618 0.34841
-0.0412 0.24747
-0.0206 0.1584
0 0.00258
0.0206 -0.1824
0.0412 -0.32087
0.0618 -0.57622
0.0824 -0.76204
0.0927 -0.18407
0.103 0.12067
0.1133 0.1279
0.1236 0.60555
0.1442 0.8401
0.1648 0.92566
0.1854 0.95099
0.206 1.00754
0.1854 1.00862
0.1648 0.85564
0.1442 0.84663
0.1236 0.65646
0.103 0.63834
0.0824 0.49542
0.0618 0.35854
0.0412 0.32345
0.0206 0.16342
0 -0.00386
-0.0206 -0.1926
-0.0412 -0.25201
-0.0618 -0.5153
-0.0824 -0.80454
