H M
0.206 0.61014
0.1854 0.60141
0.1648 0.58137
0.1442 0.58988
0.1236 0.57985
0.103 0.58996
0.0824 0.57339
0.0618 0.53208
0.0412 0.53938
0.0206 0.58282
0 0.57636
-0.0206 0.57235
-0.0412 0.48147
-0.0618 0.46181
-0.103 -0.21819
-0.1133 -0.21835
-0.1236 -0.47453
-0.1442 -0.58888
-0.1648 -0.59543
-0.1854 -0.59343
-0.206 -0.60711
-0.1854 -0.60003
-0.1648 -0.60024
-0.1442 -0.58626
-0.1236 -0.5583
-0.103 -0.57287
-0.0824 -0.55124
-0.0618 -0.53616
-0.0412 -0.53855
-0.0206 -0.57753
0 -0.55987
0.0206 -0.54479
0.0412 -0.49186
0.0618 -0.47058
0.103 0.1834
0.1133 0.21551
0.1236 0.51303
0.1442 0.58582
0.1648 0.60381
0.1854 0.59909
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
