H M
-0.0824 -0.58655
-0.0618 -0.5718
-0.0412 -0.59052
-0.0206 -0.57374
0 -0.5316
0.0206 -0.49224
0.0412 -0.44945
0.0618 -0.41707
0.1133 0.07242
0.1236 0.33134
0.1442 0.5931
0.1648 0.59416
0.1854 0.58949
0.206 0.61486
0.1854 0.6112
0.1648 0.60926
0.1442 0.5932
0.1236 0.59295
0.103 0.58034
0.0824 0.5709
0.0618 0.56228
0.0412 0.54767
0.0206 0.58354
0 0.57181
-0.0206 0.56256
-0.0412 0.49626
-0.0618 0.45334
-0.1133 -0.07234
-0.1236 -0.41883
-0.1442 -0.56632
-0.1648 -0.58285
-0.1854 -0.58932
-0.206 -0.60547
-0.1854 -0.59675
-0.1648 -0.58807
-0.1442 -0.59082
-0.1236 -0.5631
-0.103 -0.55513
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
