H M
0.206 0.63688
0.1854 0.63034
0.1648 0.62586
0.1442 0.61884
0.1236 0.61176
0.103 0.61115
0.0824 0.59504
0.0618 0.59215
0.0412 0.57542
0.0206 0.59343
0 0.52178
-0.0206 0.45307
-0.0412 0.46701
-0.0618 0.42057
-0.1133 -0.0801
-0.1236 -0.21239
-0.1442 -0.58642
-0.1648 -0.59108
-0.1854 -0.59433
-0.206 -0.61506
-0.1854 -0.60713
-0.1648 -0.60554
-0.1442 -0.59846
-0.1236 -0.58238
-0.103 -0.57445
-0.0824 -0.56559
-0.0618 -0.54095
-0.0412 -0.52753
-0.0206 -0.48537
0 -0.51216
0.0206 -0.54169
0.0412 -0.4823
0.0618 -0.44981
0.1133 0.05533
0.1236 0.19475
0.1442 0.57979
0.1648 0.58705
0.1854 0.59424
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
