H M
0.1854 0.60156
0.1648 0.59989
0.1442 0.59336
0.1236 0.58746
0.103 0.57572
0.0824 0.57702
0.0618 0.55726
0.0412 0.55777
0.0206 0.52359
0 0.50319
-0.0206 0.48568
-0.0412 0.46007
-0.0618 0.42876
-0.103 -0.182
-0.1133 -0.20198
-0.1236 -0.4846
-0.1442 -0.56715
-0.1648 -0.58229
-0.1854 -0.5958
-0.206 -0.59451
-0.1854 -0.59595
-0.1648 -0.58477
-0.1442 -0.58649
-0.1236 -0.57558
-0.103 -0.5804
-0.0824 -0.56386
-0.0618 -0.56821
-0.0412 -0.52811
-0.0206 -0.53497
0 -0.52775
0.0206 -0.52325
0.0412 -0.46528
0.0618 -0.42825
0.103 0.1526
0.1133 0.20586
0.1236 0.48596
0.1442 0.58118
0.1648 0.59136
0.1854 0.59452
0.206 0.59648
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
