H M
-0.1442 -0.5851
-0.1236 -0.57365
-0.103 -0.57013
-0.0824 -0.56051
-0.0618 -0.55228
-0.0412 -0.52291
-0.0206 -0.48811
0 -0.50326
0.0206 -0.52122
0.0412 -0.48903
0.0618 -0.42052
0.103 0.06697
0.1133 0.39976
0.1236 0.5739
0.1442 0.58076
0.1648 0.58295
0.1854 0.58257
0.206 0.6006
0.1854 0.60538
0.1648 0.58778
0.1442 0.59265
0.1236 0.59083
0.103 0.56977
0.0824 0.57385
0.0618 0.58074
0.0412 0.54341
0.0206 0.5279
0 0.50071
-0.0206 0.47645
-0.0412 0.44089
-0.103 -0.1187
-0.1133 -0.27703
-0.1236 -0.43481
-0.1442 -0.6182
-0.1648 -0.62133
-0.1854 -0.63076
-0.206 -0.64418
-0.1854 -0.63585
-0.1648 -0.63142
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
