H M
0.206 0.60916
0.1854 0.60355
0.1648 0.59958
0.1442 0.59577
0.1236 0.59263
0.103 0.58055
0.0824 0.57689
0.0618 0.56283
0.0412 0.55641
0.0206 0.55375
0 0.51626
-0.0206 0.48162
-0.0412 0.46159
-0.0618 0.4306
-0.103 -0.15017
-0.1133 -0.39373
-0.1236 -0.54022
-0.1442 -0.57476
-0.1648 -0.58211
-0.1854 -0.58768
-0.206 -0.59379
-0.1854 -0.5907
-0.1648 -0.58986
-0.1442 -0.5811
-0.1236 -0.58264
-0.103 -0.57817
-0.0824 -0.5653
-0.0618 -0.56212
-0.0412 -0.55733
-0.0206 -0.55961
0 -0.51218
0.0206 -0.46767
0.0412 -0.47892
0.0618 -0.44022
0.103 0.1339
0.1133 0.31955
0.1236 0.52038
0.1442 0.5829
0.1648 0.57476
0.1854 0.59673
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
