H M
0.206 0.61284
0.1854 0.60639
0.1648 0.60671
0.1442 0.6009
0.1236 0.58965
0.103 0.59254
0.0824 0.5816
0.0618 0.57826
0.0412 0.56251
0.0206 0.59011
0 0.51616
-0.0206 0.44519
-0.0412 0.45022
-0.0618 0.43154
-0.103 -0.12606
-0.1133 -0.12635
-0.1236 -0.47912
-0.1442 -0.56796
-0.1648 -0.57578
-0.1854 -0.59503
-0.206 -0.59395
-0.1854 -0.59131
-0.1648 -0.58475
-0.1442 -0.58024
-0.1236 -0.57432
-0.103 -0.5574
-0.0824 -0.55671
-0.0618 -0.53361
-0.0412 -0.50779
-0.0206 -0.4879
0 -0.53514
0.0206 -0.58498
0.0412 -0.51089
0.0618 -0.4684
0.103 0.0381
0.1133 0.0415
0.1236 0.37793
0.1442 0.56151
0.1648 0.57251
0.1854 0.59043
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
