H M
0.206 0.61382
0.1854 0.60379
0.1648 0.60412
0.1442 0.59474
0.1236 0.58678
0.103 0.57142
0.0824 0.55746
0.0618 0.54918
0.0412 0.54201
0.0206 0.50411
0 0.51154
-0.0206 0.52175
-0.0412 0.47814
-0.0618 0.42587
-0.103 -0.07669
-0.1133 -0.36068
-0.1236 -0.52044
-0.1442 -0.59259
-0.1648 -0.60087
-0.1854 -0.6089
-0.206 -0.62466
-0.1854 -0.6209
-0.1648 -0.61385
-0.1442 -0.61263
-0.1236 -0.60374
-0.103 -0.59425
-0.0824 -0.58681
-0.0618 -0.58041
-0.0412 -0.57316
-0.0206 -0.61508
0 -0.52447
0.0206 -0.43686
0.0412 -0.44166
0.0618 -0.42705
0.103 0.09045
0.1133 0.36584
0.1236 0.55442
0.1442 0.60463
0.1648 0.61425
0.1854 0.6126
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
 --
